PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,DDisc_AUC_200,DDisc_AUC_40K,VSPLOT_TC,VSPLOT_CRTE,VSPLOT_OFF,SCPT_SEN,SCPT_SPEC,IWRD_TOT,IWRD_RTC,ListSort_AgeAdj
91.25,88.63,88.13,23.0,0.0,22080.0,112.4302,113.5219,118.18,0.3568375,0.61979187,16.0,1648.7,18.0,0.9667,0.975,39.0,1337.5,94.33
101.69,115.18,114.18,23.0,0.0,12280.0,132.4124,146.5971,96.12,0.8016291999999999,0.8687502,18.0,608.0952,14.0,1.0,0.975,38.0,1240.0,108.26
78.19,100.25,111.48,20.0,0.0,18285.0,126.3363,124.2263,75.77,0.039389584,0.21614604,17.0,910.0,20.0,0.8833,0.9833,38.0,1560.0,98.44
118.78,104.28,112.02,17.0,2.0,8820.0,123.7689,132.7039,112.44,0.35280105,0.8656252000000001,16.0,747.0833,17.0,0.95,0.975,27.0,1255.0,98.44
92.27,95.27,86.79,21.0,0.0,13650.0,112.5692,108.6063,96.12,0.15892084,0.16041687,15.0,985.4545,25.0,0.9833,0.95,36.0,1310.0,113.85
93.37,92.34,84.97,12.0,7.0,5176.5,90.52,92.34,106.95,0.06425937,0.10416687,16.0,1264.5714,22.0,0.8833,0.8833,33.0,1802.5,85.26
118.78,103.9,101.5,9.0,10.0,3200.0,96.01463000000001,101.9643,112.44,0.13548334,0.19843770000000002,17.0,669.1667,15.0,1.0,0.9833,40.0,1487.5,94.33
76.17,91.32,100.75,13.0,6.0,7071.0,80.83,74.63,99.37,0.03170729,0.04739604,11.0,1089.9089999999999,23.0,0.9833,0.775,30.0,1512.25,98.44
112.44,86.69,99.7,20.0,0.0,18614.0,91.65639,97.72046999999999,97.87,0.19707188,0.4656252,16.0,1050.3036,19.0,0.9667,0.925,29.0,1735.0,80.7
99.02,110.36,101.01,13.0,6.0,7710.0,99.83,100.16,82.79,0.38313958,0.64622414,11.0,1278.1,28.0,0.8833,0.9083,35.0,1465.0,89.14
92.22,116.31,99.42,19.0,0.0,9590.0,130.2957,146.5971,137.14,0.07103021,0.46184915,18.0,829.0,16.0,0.8833,0.9083,38.0,1040.0,108.26
121.69,113.71,95.22,23.0,0.0,21880.0,117.855,126.26799999999999,87.33,0.32975417,0.7203126999999999,20.0,841.0227,14.0,0.9833,0.95,34.0,1397.5,132.49
112.22,96.6,103.23,19.0,0.0,20080.0,90.42704,117.0253,74.17,0.053972915,0.08737,15.0,925.7143,18.0,0.9667,0.9667,31.0,1470.0,98.44
77.31,87.48,89.53,7.0,12.0,3328.0,89.9347,126.029,106.31,0.0443375,0.07812521,2.0,493.08635999999996,85.0,0.7833,0.975,31.0,1364.75,98.44
83.54,100.22,101.76,16.0,3.0,22254.0,110.56,118.89,94.68,0.12975417,0.772396,21.0,1162.1538,11.0,0.9833,0.9667,32.0,1680.0,103.57
130.24,99.36,113.13,20.0,0.0,16780.0,100.77,112.54,109.47,0.35123855,0.41796896,18.0,1312.2142,12.0,0.9833,0.9583,36.0,1367.5,103.57
90.71,88.87,99.38,7.0,12.0,3610.0,92.12,78.68,89.52,0.029884376,0.016536666000000002,10.0,638.5,36.0,0.9167,0.95,30.0,1430.0,89.14
130.24,90.13,103.84,19.0,0.0,19490.0,122.0106,126.5148,112.44,0.32506666,0.8515627,22.0,1181.1154,8.0,1.0,0.9667,36.0,1675.0,113.85
78.94,87.17,89.53,8.0,11.0,4375.0,81.63425,78.11943000000001,83.82,0.07168125,0.17200541,8.0,1101.1111,35.0,0.9333,0.975,34.0,1705.0,76.81
62.14,89.21,98.96,20.0,0.0,15785.0,94.47498,118.9075,101.27,0.18704583,0.8218752,19.0,951.4286,15.0,0.95,0.8833,32.0,1667.5,103.57
116.16,96.82,107.74,17.0,2.0,24121.0,91.86,101.72,90.62,0.51881665,0.5843752,14.0,1307.8636,21.0,0.9167,0.95,35.0,1595.0,98.44
107.36,98.55,87.88,21.0,0.0,11521.0,104.73,113.09,94.43,0.1629573,0.06757833,15.0,978.53845,16.0,1.0,0.975,37.0,1377.5,113.85
104.6,108.33,106.27,15.0,4.0,8100.0,131.6158,140.1863,92.66,0.13730624,0.31237,14.0,707.6929,28.0,1.0,0.9833,38.0,1440.0,113.85
101.61,100.39,108.23,14.0,5.0,12285.0,125.39,132.32,116.24,0.20787917,0.08828146,12.0,817.58655,32.0,0.9667,0.9417,35.0,1387.5,98.44
101.12,116.31,113.13,22.0,0.0,24500.0,125.0612,129.0164,129.22,0.35162917,0.72916687,17.0,547.0,15.0,0.95,0.95,38.0,1360.0,98.44
